zip,event
01067,Leipzig
01936,Leipzig
01945,Potsdam
01998,Potsdam
02625,Leipzig
02999,Leipzig
03042,Potsdam
03253,Potsdam
04103,Leipzig
04575,Leipzig
04600,Erfurt
04639,Erfurt
04643,Leipzig
04889,Leipzig
04895,Potsdam
04938,Potsdam
06108,Magdeburg
06543,Magdeburg
06556,Erfurt
06578,Erfurt
06618,Magdeburg
06642,Magdeburg
06647,Erfurt
06648,Magdeburg
06925,Magdeburg
07318,Erfurt
07950,Erfurt
07952,Leipzig
07955,Erfurt
07980,Erfurt
07985,Leipzig
07987,Erfurt
08056,Leipzig
09669,Leipzig
10115,Berlin
12527,Berlin
12529,Potsdam
12555,Berlin
14199,Berlin
14467,Potsdam
16949,Potsdam
17033,Schwerin
17258,Schwerin
17268,Potsdam
17291,Potsdam
17309,Schwerin
17322,Schwerin
17326,Potsdam
17328,Schwerin
19306,Schwerin
19309,Potsdam
19348,Potsdam
19357,Schwerin
19417,Schwerin
20095,Hamburg
21149,Hamburg
21217,Hannover
21449,Hannover
21465,Bad Segeberg
21521,Bad Segeberg
21522,Hannover
21524,Bad Segeberg
21529,Bad Segeberg
21614,Hannover
21789,Hannover
22041,Hamburg
22769,Hamburg
22844,Bad Segeberg
23919,Bad Segeberg
23923,Schwerin
23999,Schwerin
24103,Bad Segeberg
25999,Bad Segeberg
26121,Osnabrück
26969,Osnabrück
27211,Hannover
27239,Hannover
27243,Osnabrück
27245,Hannover
27478,Hannover
27498,Bad Segeberg
27499,Hamburg
27568,Bremen
27580,Bremen
27607,Hannover
27729,Hannover
27749,Osnabrück
27809,Osnabrück
28195,Bremen
28779,Bremen
28790,Hannover
29364,Hannover
29365,Braunschweig
29386,Braunschweig
29389,Hannover
29392,Braunschweig
29393,Braunschweig
29394,Hannover
29396,Braunschweig
29399,Braunschweig
29410,Magdeburg
29416,Magdeburg
29439,Hannover
31199,Hannover
31224,Braunschweig
31249,Braunschweig
31275,Hannover
31868,Hannover
32049,Bielefeld
32278,Bielefeld
32289,Osnabrück
32312,Bielefeld
32339,Bielefeld
32351,Osnabrück
32361,Osnabrück
32369,Bielefeld
33829,Bielefeld
34117,Gießen
34329,Gießen
34346,Hannover
34355,Gießen
34399,Gießen
34414,Bielefeld
34431,Gießen
34434,Bielefeld
34439,Bielefeld
34454,Gießen
36399,Gießen
36404,Erfurt
36469,Erfurt
37073,Hannover
